Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Suffolk County
Required annual income after taxes,"$49,524 ","$95,286 ","$122,620 ","$161,445 ","$69,970 ","$84,333 ","$94,784 ","$105,203 ","$69,970 ","$104,775 ","$133,974 ","$163,564 ",Suffolk County
Annual taxes,"$10,033 ","$19,395 ","$26,579 ","$39,530 ","$12,610 ","$13,859 ","$14,107 ","$14,346 ","$12,610 ","$18,364 ","$25,304 ","$34,183 ",Suffolk County
Required annual income before taxes,"$59,557 ","$114,682 ","$149,199 ","$200,974 ","$82,580 ","$98,193 ","$108,891 ","$119,549 ","$82,580 ","$123,139 ","$159,279 ","$197,747 ",Suffolk County
Food,"$4,022 ","$5,929 ","$8,893 ","$11,819 ","$7,373 ","$9,178 ","$11,821 ","$14,412 ","$7,373 ","$9,178 ","$11,821 ","$14,412 ",Sullivan County
Child Care,$0 ,"$13,210 ","$25,714 ","$37,257 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$13,210 ","$25,714 ","$37,257 ",Sullivan County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Sullivan County
Housing,"$9,517 ","$13,003 ","$13,003 ","$18,165 ","$11,061 ","$13,003 ","$13,003 ","$18,165 ","$11,061 ","$13,003 ","$13,003 ","$18,165 ",Sullivan County
Transportation,"$10,772 ","$12,467 ","$15,704 ","$18,069 ","$12,467 ","$15,704 ","$18,069 ","$18,049 ","$12,467 ","$15,704 ","$18,069 ","$18,049 ",Sullivan County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Sullivan County
Internet & Mobile,"$1,602 ","$1,602 ","$1,602 ","$1,602 ","$2,168 ","$2,168 ","$2,168 ","$2,168 ","$2,168 ","$2,168 ","$2,168 ","$2,168 ",Sullivan County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Sullivan County
Required annual income after taxes,"$37,299 ","$69,005 ","$89,432 ","$116,302 ","$53,253 ","$64,569 ","$74,449 ","$80,693 ","$53,253 ","$77,779 ","$100,164 ","$117,951 ",Sullivan County
Annual taxes,"$6,901 ","$10,506 ","$14,051 ","$21,764 ","$8,335 ","$8,797 ","$8,897 ","$8,066 ","$8,335 ","$11,448 ","$14,020 ","$16,817 ",Sullivan County
Required annual income before taxes,"$44,200 ","$79,511 ","$103,483 ","$138,066 ","$61,588 ","$73,366 ","$83,346 ","$88,760 ","$61,588 ","$89,226 ","$114,184 ","$134,767 ",Sullivan County
Food,"$4,292 ","$6,327 ","$9,490 ","$12,614 ","$7,869 ","$9,795 ","$12,615 ","$15,381 ","$7,869 ","$9,795 ","$12,615 ","$15,381 ",Tioga County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Tioga County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Tioga County
Housing,"$10,426 ","$13,913 ","$13,913 ","$18,218 ","$11,023 ","$13,913 ","$13,913 ","$18,218 ","$11,023 ","$13,913 ","$13,913 ","$18,218 ",Tioga County
Transportation,"$10,748 ","$12,438 ","$15,668 ","$18,028 ","$12,438 ","$15,668 ","$18,028 ","$18,008 ","$12,438 ","$15,668 ","$18,028 ","$18,008 ",Tioga County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Tioga County
Internet & Mobile,"$1,417 ","$1,417 ","$1,417 ","$1,417 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ",Tioga County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Tioga County
Required annual income after taxes,"$37,879 ","$67,416 ","$86,602 ","$111,483 ","$52,773 ","$64,705 ","$74,757 ","$80,317 ","$52,773 ","$76,401 ","$97,525 ","$113,306 ",Tioga County
Annual taxes,"$7,050 ","$10,048 ","$12,996 ","$19,871 ","$8,213 ","$8,832 ","$8,976 ","$7,970 ","$8,213 ","$11,095 ","$13,344 ","$15,162 ",Tioga County
Required annual income before taxes,"$44,929 ","$77,464 ","$99,598 ","$131,354 ","$60,985 ","$73,536 ","$83,733 ","$88,287 ","$60,985 ","$87,496 ","$110,869 ","$128,468 ",Tioga County
Food,"$4,867 ","$7,174 ","$10,761 ","$14,303 ","$8,922 ","$11,106 ","$14,304 ","$17,440 ","$8,922 ","$11,106 ","$14,304 ","$17,440 ",Tompkins County
Child Care,$0 ,"$15,705 ","$30,280 ","$43,069 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,705 ","$30,280 ","$43,069 ",Tompkins County
Medical,"$3,566 ","$8,436 ","$8,288 ","$8,901 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ","$6,272 ","$8,288 ","$8,901 ","$8,364 ",Tompkins County
Housing,"$15,813 ","$20,071 ","$20,071 ","$24,800 ","$17,297 ","$20,071 ","$20,071 ","$24,800 ","$17,297 ","$20,071 ","$20,071 ","$24,800 ",Tompkins County
Transportation,"$9,812 ","$11,355 ","$14,304 ","$16,459 ","$11,355 ","$14,304 ","$16,459 ","$16,440 ","$11,355 ","$14,304 ","$16,459 ","$16,440 ",Tompkins County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Tompkins County
Internet & Mobile,"$1,421 ","$1,421 ","$1,421 ","$1,421 ","$1,987 ","$1,987 ","$1,987 ","$1,987 ","$1,987 ","$1,987 ","$1,987 ","$1,987 ",Tompkins County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Tompkins County
Required annual income after taxes,"$42,910 ","$77,351 ","$100,183 ","$128,270 ","$59,021 ","$70,814 ","$81,039 ","$87,395 ","$59,021 ","$86,519 ","$111,318 ","$130,464 ",Tompkins County
Annual taxes,"$8,339 ","$12,801 ","$18,057 ","$26,599 ","$9,809 ","$10,396 ","$10,585 ","$9,783 ","$9,809 ","$13,687 ","$16,885 ","$21,533 ",Tompkins County
Required annual income before taxes,"$51,249 ","$90,151 ","$118,240 ","$154,869 ","$68,831 ","$81,210 ","$91,624 ","$97,178 ","$68,831 ","$100,206 ","$128,203 ","$151,997 ",Tompkins County
Food,"$4,394 ","$6,477 ","$9,715 ","$12,912 ","$8,055 ","$10,027 ","$12,913 ","$15,745 ","$8,055 ","$10,027 ","$12,913 ","$15,745 ",Ulster County
Child Care,$0 ,"$16,189 ","$31,462 ","$45,513 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,189 ","$31,462 ","$45,513 ",Ulster County
Medical,"$3,955 ","$9,607 ","$9,458 ","$10,072 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ","$6,997 ","$9,458 ","$10,072 ","$9,535 ",Ulster County
Housing,"$15,488 ","$20,530 ","$20,530 ","$26,512 ","$15,777 ","$20,530 ","$20,530 ","$26,512 ","$15,777 ","$20,530 ","$20,530 ","$26,512 ",Ulster County
Transportation,"$10,735 ","$12,424 ","$15,650 ","$18,007 ","$12,424 ","$15,650 ","$18,007 ","$17,986 ","$12,424 ","$15,650 ","$18,007 ","$17,986 ",Ulster County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Ulster County
Internet & Mobile,"$1,454 ","$1,454 ","$1,454 ","$1,454 ","$2,019 ","$2,019 ","$2,019 ","$2,019 ","$2,019 ","$2,019 ","$2,019 ","$2,019 ",Ulster County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Ulster County
Required annual income after taxes,"$43,456 ","$79,867 ","$103,326 ","$133,787 ","$58,459 ","$72,742 ","$82,858 ","$90,162 ","$58,459 ","$88,931 ","$114,320 ","$135,675 ",Ulster County
Annual taxes,"$8,478 ","$13,697 ","$19,229 ","$28,772 ","$9,665 ","$10,890 ","$11,051 ","$10,492 ","$9,665 ","$14,305 ","$17,954 ","$23,524 ",Ulster County
Required annual income before taxes,"$51,934 ","$93,564 ","$122,554 ","$162,558 ","$68,125 ","$83,631 ","$93,909 ","$100,654 ","$68,125 ","$103,235 ","$132,273 ","$159,199 ",Ulster County
Food,"$4,405 ","$6,493 ","$9,739 ","$12,945 ","$8,076 ","$10,052 ","$12,946 ","$15,785 ","$8,076 ","$10,052 ","$12,946 ","$15,785 ",Warren County
Child Care,$0 ,"$15,724 ","$30,316 ","$43,121 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$15,724 ","$30,316 ","$43,121 ",Warren County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Warren County
Housing,"$11,853 ","$16,207 ","$16,207 ","$20,979 ","$12,938 ","$16,207 ","$16,207 ","$20,979 ","$12,938 ","$16,207 ","$16,207 ","$20,979 ",Warren County
Transportation,"$10,700 ","$12,383 ","$15,599 ","$17,949 ","$12,383 ","$15,599 ","$17,949 ","$17,928 ","$12,383 ","$15,599 ","$17,949 ","$17,928 ",Warren County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Warren County
Internet & Mobile,"$1,596 ","$1,596 ","$1,596 ","$1,596 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ",Warren County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Warren County
Required annual income after taxes,"$39,494 ","$73,858 ","$96,634 ","$124,638 ","$54,913 ","$67,197 ","$77,313 ","$83,412 ","$54,913 ","$82,920 ","$107,628 ","$126,534 ",Warren County
Annual taxes,"$7,463 ","$11,841 ","$16,735 ","$25,119 ","$8,759 ","$9,469 ","$9,630 ","$8,763 ","$8,759 ","$12,765 ","$15,932 ","$20,030 ",Warren County
Required annual income before taxes,"$46,957 ","$85,699 ","$113,369 ","$149,758 ","$63,673 ","$76,666 ","$86,943 ","$92,175 ","$63,673 ","$95,685 ","$123,561 ","$146,564 ",Warren County
Food,"$4,472 ","$6,593 ","$9,889 ","$13,144 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ","$8,200 ","$10,207 ","$13,145 ","$16,027 ",Washington County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Washington County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Washington County
Housing,"$10,759 ","$14,712 ","$14,712 ","$19,043 ","$11,744 ","$14,712 ","$14,712 ","$19,043 ","$11,744 ","$14,712 ","$14,712 ","$19,043 ",Washington County
Transportation,"$11,419 ","$13,215 ","$16,646 ","$19,153 ","$13,215 ","$16,646 ","$19,153 ","$19,131 ","$13,215 ","$16,646 ","$19,153 ","$19,131 ",Washington County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Washington County
Internet & Mobile,"$1,596 ","$1,596 ","$1,596 ","$1,596 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ","$2,161 ",Washington County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Washington County
Required annual income after taxes,"$39,186 ","$69,266 ","$88,787 ","$113,973 ","$54,675 ","$66,902 ","$77,220 ","$82,922 ","$54,675 ","$78,598 ","$99,988 ","$115,910 ",Washington County
Annual taxes,"$7,385 ","$10,581 ","$13,810 ","$20,849 ","$8,698 ","$9,394 ","$9,607 ","$8,637 ","$8,698 ","$11,658 ","$13,975 ","$16,090 ",Washington County
Required annual income before taxes,"$46,571 ","$79,847 ","$102,597 ","$134,822 ","$63,373 ","$76,296 ","$86,827 ","$91,559 ","$63,373 ","$90,256 ","$113,963 ","$132,000 ",Washington County
Food,"$4,056 ","$5,978 ","$8,967 ","$11,919 ","$7,435 ","$9,255 ","$11,920 ","$14,534 ","$7,435 ","$9,255 ","$11,920 ","$14,534 ",Wayne County
Child Care,$0 ,"$12,707 ","$24,736 ","$35,839 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$12,707 ","$24,736 ","$35,839 ",Wayne County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Wayne County
Housing,"$9,489 ","$13,221 ","$13,221 ","$15,983 ","$10,622 ","$13,221 ","$13,221 ","$15,983 ","$10,622 ","$13,221 ","$13,221 ","$15,983 ",Wayne County
Transportation,"$11,650 ","$13,483 ","$16,984 ","$19,542 ","$13,483 ","$16,984 ","$19,542 ","$19,519 ","$13,483 ","$16,984 ","$19,542 ","$19,519 ",Wayne County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Wayne County
Internet & Mobile,"$1,538 ","$1,538 ","$1,538 ","$1,538 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ","$2,103 ",Wayne County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Wayne County
Required annual income after taxes,"$37,489 ","$67,828 ","$88,069 ","$112,315 ","$52,655 ","$64,187 ","$74,282 ","$78,145 ","$52,655 ","$76,894 ","$99,017 ","$113,984 ",Wayne County
Annual taxes,"$6,950 ","$10,167 ","$13,542 ","$20,198 ","$8,183 ","$8,699 ","$8,854 ","$7,413 ","$8,183 ","$11,221 ","$13,726 ","$15,404 ",Wayne County
Required annual income before taxes,"$44,438 ","$77,995 ","$101,611 ","$132,514 ","$60,838 ","$72,886 ","$83,136 ","$85,559 ","$60,838 ","$88,114 ","$112,744 ","$129,387 ",Wayne County
Food,"$4,912 ","$7,241 ","$10,860 ","$14,435 ","$9,005 ","$11,209 ","$14,436 ","$17,602 ","$9,005 ","$11,209 ","$14,436 ","$17,602 ",Westchester County
Child Care,$0 ,"$20,314 ","$38,946 ","$57,999 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,314 ","$38,946 ","$57,999 ",Westchester County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Westchester County
Housing,"$19,878 ","$28,370 ","$28,370 ","$34,799 ","$23,328 ","$28,370 ","$28,370 ","$34,799 ","$23,328 ","$28,370 ","$28,370 ","$34,799 ",Westchester County
Transportation,"$9,352 ","$10,823 ","$13,634 ","$15,688 ","$10,823 ","$13,634 ","$15,688 ","$15,669 ","$10,823 ","$13,634 ","$15,688 ","$15,669 ",Westchester County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Westchester County
Internet & Mobile,"$1,380 ","$1,380 ","$1,380 ","$1,380 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ",Westchester County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Westchester County
Required annual income after taxes,"$47,183 ","$91,749 ","$118,534 ","$154,516 ","$65,798 ","$80,501 ","$90,654 ","$98,741 ","$65,798 ","$100,816 ","$129,601 ","$156,740 ",Westchester County
Annual taxes,"$9,433 ","$18,077 ","$24,989 ","$37,225 ","$11,541 ","$12,878 ","$13,049 ","$12,690 ","$11,541 ","$17,350 ","$23,633 ","$31,575 ",Westchester County
Required annual income before taxes,"$56,616 ","$109,826 ","$143,522 ","$191,740 ","$77,339 ","$93,379 ","$103,703 ","$111,432 ","$77,339 ","$118,166 ","$153,234 ","$188,315 ",Westchester County
Food,"$4,258 ","$6,277 ","$9,416 ","$12,515 ","$7,807 ","$9,718 ","$12,516 ","$15,260 ","$7,807 ","$9,718 ","$12,516 ","$15,260 ",Wyoming County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Wyoming County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Wyoming County
Housing,"$8,733 ","$10,916 ","$10,916 ","$14,716 ","$8,781 ","$10,916 ","$10,916 ","$14,716 ","$8,781 ","$10,916 ","$10,916 ","$14,716 ",Wyoming County
Transportation,"$11,428 ","$13,226 ","$16,660 ","$19,169 ","$13,226 ","$16,660 ","$19,169 ","$19,147 ","$13,226 ","$16,660 ","$19,169 ","$19,147 ",Wyoming County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Wyoming County
Internet & Mobile,"$1,434 ","$1,434 ","$1,434 ","$1,434 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",Wyoming County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Wyoming County
Required annual income after taxes,"$36,407 ","$63,839 ","$83,205 ","$107,706 ","$50,447 ","$61,305 ","$71,485 ","$76,517 ","$50,447 ","$73,002 ","$94,253 ","$109,505 ",Wyoming County
Annual taxes,"$6,673 ","$9,018 ","$11,730 ","$18,431 ","$7,618 ","$7,963 ","$8,137 ","$6,996 ","$7,618 ","$10,224 ","$12,506 ","$13,983 ",Wyoming County
Required annual income before taxes,"$43,080 ","$72,857 ","$94,935 ","$126,137 ","$58,066 ","$69,268 ","$79,622 ","$83,514 ","$58,066 ","$83,225 ","$106,758 ","$123,488 ",Wyoming County
Food,"$4,495 ","$6,626 ","$9,939 ","$13,210 ","$8,241 ","$10,258 ","$13,211 ","$16,108 ","$8,241 ","$10,258 ","$13,211 ","$16,108 ",Yates County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Yates County
Medical,"$3,326 ","$7,714 ","$7,565 ","$8,178 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ","$5,825 ","$7,565 ","$8,178 ","$7,642 ",Yates County
Housing,"$8,721 ","$12,858 ","$12,858 ","$16,356 ","$9,782 ","$12,858 ","$12,858 ","$16,356 ","$9,782 ","$12,858 ","$12,858 ","$16,356 ",Yates County
Transportation,"$11,866 ","$13,732 ","$17,298 ","$19,903 ","$13,732 ","$17,298 ","$19,903 ","$19,880 ","$13,732 ","$17,298 ","$19,903 ","$19,880 ",Yates County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Yates County
Internet & Mobile,"$1,417 ","$1,417 ","$1,417 ","$1,417 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ","$1,982 ",Yates County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Yates County
Required annual income after taxes,"$37,255 ","$67,231 ","$86,903 ","$111,370 ","$52,750 ","$65,020 ","$75,451 ","$80,333 ","$52,750 ","$76,716 ","$98,219 ","$113,321 ",Yates County
Annual taxes,"$6,890 ","$9,995 ","$13,108 ","$19,827 ","$8,207 ","$8,912 ","$9,153 ","$7,974 ","$8,207 ","$11,175 ","$13,522 ","$15,168 ",Yates County
Required annual income before taxes,"$44,145 ","$77,226 ","$100,011 ","$131,197 ","$60,957 ","$73,932 ","$84,604 ","$88,307 ","$60,957 ","$87,891 ","$111,740 ","$128,489 ",Yates County
